row,col,season,before_file,after_file,before_date,after_date,earliest_observation,lon_min,lat_min,lon_max,lat_max,embedding_distance,change_type,confidence,num_objects_marked,preview_file,sensor,analyst_decision,analyst_notes
0,4,MONSOON,ranchi_2021_06_tile_0_4.tif,ranchi_2023_06_tile_0_4.tif,2021-06-01,2023-06-01,2021-06-01,85.346887,23.406067,85.397552,23.45282,0.2853,road_development,0.888,16,change_0_4_MONSOON_2021-06-01_to_2023-06-01.png,Sentinel-2 L2A,,
4,2,MONSOON,ranchi_2021_06_tile_4_2.tif,ranchi_2023_06_tile_4_2.tif,2021-06-01,2023-06-01,2021-06-01,85.249103,23.220065,85.299725,23.266843,0.1821,road_development,0.63,30,change_4_2_MONSOON_2021-06-01_to_2023-06-01.png,Sentinel-2 L2A,,
4,5,MONSOON,ranchi_2021_06_tile_4_5.tif,ranchi_2023_06_tile_4_5.tif,2021-06-01,2023-06-01,2023-06-01,85.399216,23.221664,85.449791,23.268398,0.1697,road_development,0.599,19,change_4_5_MONSOON_2021-06-01_to_2023-06-01.png,Sentinel-2 L2A,,
4,1,MONSOON,ranchi_2021_06_tile_4_1.tif,ranchi_2023_06_tile_4_1.tif,2021-06-01,2023-06-01,2023-06-01,85.199068,23.2195,85.249706,23.266293,0.1574,road_development,0.569,21,change_4_1_MONSOON_2021-06-01_to_2023-06-01.png,Sentinel-2 L2A,,
1,2,MONSOON,ranchi_2021_06_tile_1_2.tif,ranchi_2023_06_tile_1_2.tif,2021-06-01,2023-06-01,2023-06-01,85.247283,23.358748,85.297962,23.40553,0.1556,road_development,0.564,24,change_1_2_MONSOON_2021-06-01_to_2023-06-01.png,Sentinel-2 L2A,,
0,0,MONSOON,ranchi_2021_06_tile_0_0.tif,ranchi_2023_06_tile_0_0.tif,2021-06-01,2023-06-01,2021-06-01,85.146467,23.40382,85.197197,23.450631,0.1956,general_change,0.539,17,change_0_0_MONSOON_2021-06-01_to_2023-06-01.png,Sentinel-2 L2A,,
0,5,MONSOON,ranchi_2021_06_tile_0_5.tif,ranchi_2023_06_tile_0_5.tif,2021-06-01,2023-06-01,2023-06-01,85.396995,23.406589,85.447645,23.453327,0.1435,road_development,0.534,17,change_0_5_MONSOON_2021-06-01_to_2023-06-01.png,Sentinel-2 L2A,,
0,4,MONSOON,ranchi_2020_06_tile_0_4.tif,ranchi_2021_06_tile_0_4.tif,2020-06-01,2021-06-01,2021-06-01,85.346887,23.406067,85.397552,23.45282,0.1932,general_change,0.533,12,change_0_4_MONSOON_2020-06-01_to_2021-06-01.png,Sentinel-2 L2A,,
1,5,MONSOON,ranchi_2021_06_tile_1_5.tif,ranchi_2023_06_tile_1_5.tif,2021-06-01,2023-06-01,2023-06-01,85.397552,23.360358,85.448184,23.407095,0.1384,road_development,0.521,28,change_1_5_MONSOON_2021-06-01_to_2023-06-01.png,Sentinel-2 L2A,,
4,4,MONSOON,ranchi_2021_06_tile_4_4.tif,ranchi_2023_06_tile_4_4.tif,2021-06-01,2023-06-01,2021-06-01,85.349177,23.221147,85.399768,23.267896,0.1843,general_change,0.511,19,change_4_4_MONSOON_2021-06-01_to_2023-06-01.png,Sentinel-2 L2A,,
4,0,MONSOON,ranchi_2021_06_tile_4_0.tif,ranchi_2023_06_tile_4_0.tif,2021-06-01,2023-06-01,2023-06-01,85.149035,23.218919,85.199689,23.265727,0.1249,road_development,0.487,18,change_4_0_MONSOON_2021-06-01_to_2023-06-01.png,Sentinel-2 L2A,,
0,3,MONSOON,ranchi_2021_06_tile_0_3.tif,ranchi_2023_06_tile_0_3.tif,2021-06-01,2023-06-01,2023-06-01,85.296779,23.40553,85.347461,23.452297,0.1214,road_development,0.479,14,change_0_3_MONSOON_2021-06-01_to_2023-06-01.png,Sentinel-2 L2A,,
1,2,DRY_WINTER,ranchi_2020_01_tile_1_2.tif,ranchi_2022_12_tile_1_2.tif,2020-01-01,2022-12-01,2022-12-01,85.247283,23.358748,85.297962,23.40553,0.1672,general_change,0.468,10,change_1_2_DRY_WINTER_2020-01-01_to_2022-12-01.png,Sentinel-2 L2A,,
1,0,MONSOON,ranchi_2021_06_tile_1_0.tif,ranchi_2023_06_tile_1_0.tif,2021-06-01,2023-06-01,2023-06-01,85.147112,23.357595,85.197822,23.404406,0.1149,road_development,0.462,10,change_1_0_MONSOON_2021-06-01_to_2023-06-01.png,Sentinel-2 L2A,,
1,1,MONSOON,ranchi_2021_06_tile_1_1.tif,ranchi_2023_06_tile_1_1.tif,2021-06-01,2023-06-01,2023-06-01,85.197197,23.35818,85.247891,23.404976,0.1143,road_development,0.461,12,change_1_1_MONSOON_2021-06-01_to_2023-06-01.png,Sentinel-2 L2A,,
2,0,MONSOON,ranchi_2021_06_tile_2_0.tif,ranchi_2023_06_tile_2_0.tif,2021-06-01,2023-06-01,2023-06-01,85.147755,23.31137,85.198446,23.35818,0.1145,road_development,0.461,16,change_2_0_MONSOON_2021-06-01_to_2023-06-01.png,Sentinel-2 L2A,,
2,5,MONSOON,ranchi_2021_06_tile_2_5.tif,ranchi_2023_06_tile_2_5.tif,2021-06-01,2023-06-01,2023-06-01,85.398108,23.314127,85.448721,23.360863,0.1092,road_development,0.448,16,change_2_5_MONSOON_2021-06-01_to_2023-06-01.png,Sentinel-2 L2A,,
3,1,MONSOON,ranchi_2021_06_tile_3_1.tif,ranchi_2023_06_tile_3_1.tif,2021-06-01,2023-06-01,2021-06-01,85.198446,23.265727,85.249103,23.312521,0.1005,construction,0.4050000011920929,25,change_3_1_MONSOON_2021-06-01_to_2023-06-01.png,Sentinel-2 L2A,,
4,2,MONSOON,ranchi_2020_06_tile_4_2.tif,ranchi_2021_06_tile_4_2.tif,2020-06-01,2021-06-01,2021-06-01,85.249103,23.220065,85.299725,23.266843,0.1399,general_change,0.4,19,change_4_2_MONSOON_2020-06-01_to_2021-06-01.png,Sentinel-2 L2A,,
3,2,MONSOON,ranchi_2021_06_tile_3_2.tif,ranchi_2023_06_tile_3_2.tif,2021-06-01,2023-06-01,2023-06-01,85.248498,23.266293,85.299139,23.313072,0.1195,construction,0.38999998569488525,20,change_3_2_MONSOON_2021-06-01_to_2023-06-01.png,Sentinel-2 L2A,,
3,3,MONSOON,ranchi_2021_06_tile_3_3.tif,ranchi_2023_06_tile_3_3.tif,2021-06-01,2023-06-01,2021-06-01,85.298551,23.266843,85.349177,23.313608,0.1265,general_change,0.366,15,change_3_3_MONSOON_2021-06-01_to_2023-06-01.png,Sentinel-2 L2A,,
4,4,MONSOON,ranchi_2020_06_tile_4_4.tif,ranchi_2021_06_tile_4_4.tif,2020-06-01,2021-06-01,2021-06-01,85.349177,23.221147,85.399768,23.267896,0.1378,clearance,0.3659999966621399,13,change_4_4_MONSOON_2020-06-01_to_2021-06-01.png,Sentinel-2 L2A,,
3,0,MONSOON,ranchi_2020_06_tile_3_0.tif,ranchi_2021_06_tile_3_0.tif,2020-06-01,2021-06-01,2021-06-01,85.148396,23.265145,85.199068,23.311953,0.1259,general_change,0.365,18,change_3_0_MONSOON_2020-06-01_to_2021-06-01.png,Sentinel-2 L2A,,
1,2,DRY_WINTER,ranchi_2022_12_tile_1_2.tif,ranchi_2024_12_tile_1_2.tif,2022-12-01,2024-12-01,2022-12-01,85.247283,23.358748,85.297962,23.40553,0.1246,general_change,0.361,7,change_1_2_DRY_WINTER_2022-12-01_to_2024-12-01.png,Sentinel-2 L2A,,
2,5,DRY_WINTER,ranchi_2020_01_tile_2_5.tif,ranchi_2022_12_tile_2_5.tif,2020-01-01,2022-12-01,2022-12-01,85.398108,23.314127,85.448721,23.360863,0.1246,general_change,0.361,18,change_2_5_DRY_WINTER_2020-01-01_to_2022-12-01.png,Sentinel-2 L2A,,
3,3,MONSOON,ranchi_2020_06_tile_3_3.tif,ranchi_2021_06_tile_3_3.tif,2020-06-01,2021-06-01,2021-06-01,85.298551,23.266843,85.349177,23.313608,0.1218,general_change,0.354,21,change_3_3_MONSOON_2020-06-01_to_2021-06-01.png,Sentinel-2 L2A,,
0,0,DRY_WINTER,ranchi_2020_01_tile_0_0.tif,ranchi_2022_12_tile_0_0.tif,2020-01-01,2022-12-01,2022-12-01,85.146467,23.40382,85.197197,23.450631,0.1179,general_change,0.345,15,change_0_0_DRY_WINTER_2020-01-01_to_2022-12-01.png,Sentinel-2 L2A,,
0,1,DRY_WINTER,ranchi_2020_01_tile_0_1.tif,ranchi_2022_12_tile_0_1.tif,2020-01-01,2022-12-01,2022-12-01,85.19657,23.404406,85.247283,23.451203,0.1088,general_change,0.322,5,change_0_1_DRY_WINTER_2020-01-01_to_2022-12-01.png,Sentinel-2 L2A,,
3,4,DRY_WINTER,ranchi_2020_01_tile_3_4.tif,ranchi_2022_12_tile_3_4.tif,2020-01-01,2022-12-01,2022-12-01,85.348607,23.267378,85.399216,23.314127,0.1066,general_change,0.316,10,change_3_4_DRY_WINTER_2020-01-01_to_2022-12-01.png,Sentinel-2 L2A,,
0,3,DRY_WINTER,ranchi_2022_12_tile_0_3.tif,ranchi_2024_12_tile_0_3.tif,2022-12-01,2024-12-01,2024-12-01,85.296779,23.40553,85.347461,23.452297,0.1055,general_change,0.314,13,change_0_3_DRY_WINTER_2022-12-01_to_2024-12-01.png,Sentinel-2 L2A,,
0,0,MONSOON,ranchi_2020_06_tile_0_0.tif,ranchi_2021_06_tile_0_0.tif,2020-06-01,2021-06-01,2021-06-01,85.146467,23.40382,85.197197,23.450631,0.1028,general_change,0.307,11,change_0_0_MONSOON_2020-06-01_to_2021-06-01.png,Sentinel-2 L2A,,
